month,sum_of_lights
2012-01,NoData
2012-02,NoData
2012-03,NoData
2012-04,NoData
2012-05,NoData
2012-06,NoData
2012-07,NoData
2012-08,NoData
2012-09,NoData
2012-10,NoData
2012-11,NoData
2012-12,NoData
2013-01,NoData
2013-02,NoData
2013-03,NoData
2013-04,NoData
2013-05,NoData
2013-06,NoData
2013-07,NoData
2013-08,NoData
2013-09,NoData
2013-10,NoData
2013-11,NoData
2013-12,NoData
2014-01,3259869.0220996016
2014-02,3491196.4187005125
2014-03,3188099.3400875526
2014-04,3022994.221835924
2014-05,3200764.9943279373
2014-06,4185269.5309107853
2014-07,4977408.750892373
2014-08,3708944.9419755316
2014-09,3606590.020841944
2014-10,3390118.4130410496
2014-11,2871051.8784857355
2014-12,3623000.833664391
2015-01,4201282.2782509
2015-02,3456609.241809466
2015-03,3431659.2931964896
2015-04,3718478.8795099254
2015-05,4405364.272223265
2015-06,4317633.201679833
2015-07,3885886.6742119356
2015-08,3302178.9622383486
2015-09,3265832.559845373
2015-10,3041802.3405458946
2015-11,3196979.9708563355
2015-12,3134072.651166863
2016-01,3422290.057728985
2016-02,3059550.664738439
2016-03,3040349.468648727
2016-04,3069839.8773609055
2016-05,3589672.8392666522
2016-06,3933462.4802282546
2016-07,4032034.330968029
2016-08,3281103.5800763685
2016-09,2885673.8669886263
2016-10,3122865.53282269
2016-11,3209143.053780622
2016-12,3020621.4933455307
2017-01,2830134.2912656614
2017-02,2918300.4100815994
2017-03,3495472.190632561
2017-04,3410212.744330969
2017-05,4163176.947662485
2017-06,3476609.069871557
2017-07,3873700.348171204
2017-08,3186384.3211906687
2017-09,3172712.840354921
2017-10,3181029.0223256927
2017-11,3115624.415419502
2017-12,3234963.496309608
2018-01,3376045.390098428
2018-02,3266587.805152119
2018-03,3285777.8069611117
2018-04,3445206.9413310224
2018-05,4043300.4552460555
2018-06,3788242.645996913
2018-07,4111051.1325419736
2018-08,3350116.859631144
2018-09,2887877.648811086
2018-10,3141378.856881924
2018-11,3164503.1029638276
2018-12,2979885.671830374
2019-01,2983008.8914625198
2019-02,3537206.3156125983
2019-03,3038459.781676766
2019-04,3412690.9769307487
2019-05,3507008.2949427925
2019-06,3526372.502725845
2019-07,3916134.883851151
2019-08,3220740.7173474403
2019-09,3021468.255449212
2019-10,3041670.163544954
2019-11,2774458.4279439766
2019-12,2833097.337164537
2020-01,2469931.391908887
2020-02,3063801.8056877814
2020-03,3039387.801479643
2020-04,2994545.336764268
2020-05,4404854.8119011475
2020-06,3634071.852027512
2020-07,4235499.461956876
2020-08,2930416.3038905608
2020-09,3138875.2790070535
2020-10,2798090.494446608
2020-11,3100586.9369296846
2020-12,3078279.398310677
2021-01,3428679.4460419933
2021-02,4770228.967649562
2021-03,2799074.8174445233
2021-04,3228602.6724977493
2021-05,3673660.9419595227
2021-06,4259250.864906266
2021-07,4252466.507426895
2021-08,2978239.2536398084
2021-09,3036852.1259161164
2021-10,2896120.3347319243
2021-11,3195460.485868212
2021-12,2591421.0657988964
2022-01,3287455.0730813127
2022-02,3147539.1848773942
2022-03,3453612.7585245073
2022-04,3211980.3503432744
2022-05,3866188.5236744573
2022-06,4223437.9973962335
2022-07,2261409.4801044646
2022-08,2844201.5834280625
2022-09,3208169.7579987226
2022-10,3006640.0304251155
2022-11,2907414.568201623
2022-12,2840408.4238192597
2023-01,3375758.8360202275
2023-02,3003633.255228146
2023-03,3212578.408147962
2023-04,2720454.589778265
2023-05,4200251.82001395
2023-06,3928798.8890314116
2023-07,3559416.3554847934
2023-08,3138502.3810451357
2023-09,3283433.22304045
2023-10,3208601.22888215
2023-11,3113868.6905555995
2023-12,3065660.645876605
2024-01,3286023.5804340807
2024-02,2845925.248326391
2024-03,3242017.8658741517
2024-04,3064099.2316163806
2024-05,4230167.501173643
2024-06,3554528.2945239376
2024-07,3750395.0304701407
2024-08,3234582.128862996
2024-09,3000375.573230358
2024-10,3021025.148148719
2024-11,NoData
2024-12,2812365.1053028377
